fixed_drive,fixed_drive_result,series,series_result,series_success,yardline_100,touchdown,fumble_lost,interception,game_id,play_id,home_team,away_team,rush,pass,fd,name,ep,epa,success,passer_player_name,rusher_player_name,receiver_player_name,posteam,down,qtr,time,desc,ydstogo,quarter_seconds_remaining,game_seconds_remaining,vegas_home_wp,vegas_home_wpa,home_wp,play_type,cp,cpoe,complete_pass,air_yards,pass_location,yards_gained,qb_epa,total_home_score,total_away_score,score_differential,posteam_timeouts_remaining,defteam_timeouts_remaining,drive_start_yard_line,drive_end_yard_line,drive_start_transition,drive_end_transition,drive_time_of_possession,drive_play_count,game_half,return_yards,yrdln,penalty,week
1,Punt,1,Punt,0,NA,NA,NA,NA,2025_15_CLE_CHI,1,CHI,CLE,0,0,0,NA,1.474097768,0,0,NA,NA,NA,NA,NA,1,15:00,GAME,0,900,3600,0.736337781,0,0.546261787,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Half1,NA,CLE 35,NA,15
1,Punt,1,Punt,0,35,0,0,0,2025_15_CLE_CHI,39,CHI,CLE,0,0,0,NA,1.474097768,1.74338454,1,NA,NA,NA,CHI,NA,1,15:00,25-A.Szmyt kicks 64 yards from CLE 35 to CHI 1. 12-D.Duvernay pushed ob at CLE 47 for 52 yards (25-A.Szmyt). CHI-33-J.Jones was injured during the play.,0,900,3600,0.736337781,0.031883717,0.546261787,kickoff,NA,NA,0,NA,NA,0,1.74338454,0,0,0,3,3,CLE 47,CLE 46,KICKOFF,PUNT,1:12,3,Half1,52,CLE 35,0,15
1,Punt,1,Punt,0,47,0,0,0,2025_15_CLE_CHI,70,CHI,CLE,0,1,0,C.Williams,3.217482308,-0.491693022,0,C.Williams,NA,C.Loveland,CHI,1,1,14:52,(14:52) 18-C.Williams pass incomplete deep right to 84-C.Loveland (27-S.Webb).,10,892,3592,0.768221498,-0.022969604,0.584446669,pass,0.394803584,-39.48035836,0,25,right,0,-0.491693022,0,0,0,3,3,CLE 47,CLE 46,KICKOFF,PUNT,1:12,3,Half1,0,CLE 47,0,15
1,Punt,1,Punt,0,47,0,0,0,2025_15_CLE_CHI,93,CHI,CLE,0,0,0,NA,2.725789286,-0.646803765,0,NA,NA,NA,CHI,2,1,14:45,"(14:45) PENALTY on CHI-2-D.Moore, False Start, 5 yards, enforced at CLE 47 - No Play.",10,885,3585,0.745251894,-0.014007926,0.566531539,no_play,NA,NA,0,NA,NA,0,-0.646803765,0,0,0,3,3,CLE 47,CLE 46,KICKOFF,PUNT,1:12,3,Half1,0,CLE 47,1,15
1,Punt,1,Punt,0,52,0,0,0,2025_15_CLE_CHI,117,CHI,CLE,1,0,0,D.Swift,2.078985521,-0.231039554,0,NA,D.Swift,NA,CHI,2,1,14:45,(14:45) (Shotgun) 4-D.Swift left guard to CLE 46 for 6 yards (17-J.Baker; 49-C.Schwesinger).,15,885,3585,0.731243968,0.006516159,0.558497488,run,NA,NA,0,NA,NA,6,-0.231039554,0,0,0,3,3,CLE 47,CLE 46,KICKOFF,PUNT,1:12,3,Half1,0,CHI 48,0,15
1,Punt,1,Punt,0,46,0,0,0,2025_15_CLE_CHI,139,CHI,CLE,0,1,0,C.Williams,1.847945967,-1.184279376,0,C.Williams,NA,K.Monangai,CHI,3,1,14:05,(14:05) (Shotgun) 18-C.Williams pass incomplete short right to 25-K.Monangai.,9,845,3545,0.737760127,-0.037957847,0.530843973,pass,0.870659173,-87.06591725,0,-4,right,0,-1.184279376,0,0,0,3,3,CLE 47,CLE 46,KICKOFF,PUNT,1:12,3,Half1,0,CLE 46,0,15
1,Punt,1,Punt,0,46,0,0,0,2025_15_CLE_CHI,162,CHI,CLE,0,0,0,NA,0.663666591,0.782329932,1,NA,NA,NA,CHI,4,1,14:02,"(14:02) 19-T.Taylor punts 45 yards to CLE 1, Center-46-S.Daly, downed by CHI-33-J.Jones. ** Injury Update: CHI-33-J.Jones has returned to the game. Cleveland challenged the kick downed ruling, and the play was Upheld. The ruling on the field stands. (Timeout #1.)",9,842,3542,0.699802279,0.076244712,0.495058507,punt,NA,NA,0,NA,NA,0,0.782329932,0,0,0,3,2,CLE 47,CLE 46,KICKOFF,PUNT,1:12,3,Half1,0,CLE 46,0,15
2,Punt,2,Punt,0,99,0,0,0,2025_15_CLE_CHI,182,CHI,CLE,0,0,0,NA,-1.445996523,0,0,NA,NA,NA,CLE,1,1,13:48,"(13:48) 71-C.Lucas reported in as eligible. PENALTY on CLE-44-H.Fannin, False Start, 0 yards, enforced at CLE 1 - No Play.",10,828,3528,0.776046991,0,0.539367706,no_play,NA,NA,0,NA,NA,0,0,0,0,0,2,3,CLE 1,CLE 7,PUNT,PUNT,2:30,3,Half1,0,CLE 1,1,15
2,Punt,2,Punt,0,99,0,0,0,2025_15_CLE_CHI,249,CHI,CLE,1,0,0,Q.Judkins,-1.445996523,-0.288387221,0,NA,Q.Judkins,NA,CLE,1,1,13:48,(13:48) 10-Q.Judkins left guard to CLE 2 for 1 yard (26-N.Wright).,10,828,3528,0.776046991,-0.008755982,0.539367706,run,NA,NA,0,NA,NA,1,-0.288387221,0,0,0,2,3,CLE 1,CLE 7,PUNT,PUNT,2:30,3,Half1,0,CLE 1,0,15
2,Punt,2,Punt,0,98,0,0,0,2025_15_CLE_CHI,271,CHI,CLE,0,0,0,NA,-1.734383744,-0.200193845,0,NA,NA,NA,CLE,2,1,13:09,"(13:09) (Shotgun) PENALTY on CLE, Offensive Too Many Men on Field, 1 yard, enforced at CLE 2 - No Play.",9,789,3489,0.767291009,0.025844142,0.556788892,no_play,NA,NA,0,NA,NA,0,-0.200193845,0,0,0,2,3,CLE 1,CLE 7,PUNT,PUNT,2:30,3,Half1,0,CLE 2,1,15
2,Punt,2,Punt,0,99,0,0,0,2025_15_CLE_CHI,295,CHI,CLE,1,0,0,Q.Judkins,-1.934577589,-0.385966391,0,NA,Q.Judkins,NA,CLE,2,1,13:00,(13:00) (Shotgun) 10-Q.Judkins right guard to CLE 3 for 2 yards (9-J.Brisker; 48-D.Jackson).,10,780,3480,0.793135151,-0.012882829,0.556788892,run,NA,NA,0,NA,NA,2,-0.385966391,0,0,0,2,3,CLE 1,CLE 7,PUNT,PUNT,2:30,3,Half1,0,CLE 1,0,15
2,Punt,2,Punt,0,97,0,0,0,2025_15_CLE_CHI,317,CHI,CLE,1,0,0,Q.Judkins,-2.32054398,-0.531239067,0,NA,Q.Judkins,NA,CLE,3,1,12:14,(12:14) (Shotgun) 10-Q.Judkins left end to CLE 7 for 4 yards (26-N.Wright; 22-E.Hicks).,8,734,3434,0.780252323,0.002264231,0.583688289,run,NA,NA,0,NA,NA,4,-0.531239067,0,0,0,2,3,CLE 1,CLE 7,PUNT,PUNT,2:30,3,Half1,0,CLE 3,0,15
2,Punt,2,Punt,0,93,0,0,0,2025_15_CLE_CHI,339,CHI,CLE,0,0,0,NA,-2.851783047,-0.813890343,0,NA,NA,NA,CLE,4,1,11:29,"(11:29) 13-C.Bojorquez punts 53 yards to CHI 40, Center-50-R.Sunahara. 12-D.Duvernay to CLE 42 for 18 yards (50-R.Sunahara).",4,689,3389,0.782516554,-0.024413124,0.665269881,punt,NA,NA,0,NA,NA,0,-0.813890343,0,0,0,2,3,CLE 1,CLE 7,PUNT,PUNT,2:30,3,Half1,18,CLE 7,0,15
